座位ID,取票时间,票型ID,票型,用户ID,邮箱,订单,区域,排数,座位号,,
486017612198957,2023/11/25 10:00:01,129,PLATINUM SEATED,482654972404741,911927382@jack.com,486363947148933,,,,,
486017612198958,2023/11/25 10:00:01,129,PLATINUM SEATED,482654972404741,911927382@jack.com,486363947148933,,,,,
486017612174360,2023/11/25 10:00:03,129,PLATINUM SEATED,486148230513669,3325478@jack.com,486363947422917,,,,,
486017612174361,2023/11/25 10:00:03,129,PLATINUM SEATED,486148230513669,3325478@jack.com,486363947422917,,,,,
486017612178464,2023/11/25 10:00:05,129,PLATINUM SEATED,486221635572741,17431058@jack.com,486363947689221,,,,,
486017612186638,2023/11/25 10:00:06,129,PLATINUM SEATED,486352236234245,710644@jack.com,486363948123269,,,,,
486017612174362,2023/11/25 10:00:07,129,PLATINUM SEATED,478457178202949,1880792@jack.com,486363948422661,,,,,
486017612174363,2023/11/25 10:00:07,129,PLATINUM SEATED,478457178202949,1880792@jack.com,486363948422661,,,,,
486017612203050,2023/11/25 10:00:09,129,PLATINUM SEATED,482665334580293,eant619@jack.com,486363948688837,,,,,
486017612174393,2023/11/25 10:00:10,129,PLATINUM SEATED,486155167196229,543054@jack.com,486363948782853,,,,,
486017612174394,2023/11/25 10:00:10,129,PLATINUM SEATED,486155167196229,543054@jack.com,486363948782853,,,,,
486017612178444,2023/11/25 10:00:13,129,PLATINUM SEATED,486360732677829,lr8023salahe@jack.com,486363948967365,,,,,
486017612178445,2023/11/25 10:00:13,129,PLATINUM SEATED,486360732677829,lr8023salahe@jack.com,486363948967365,,,,,
482517400904709,2023/11/25 10:00:15,129,PLATINUM SEATED,486127149667333,1749154@jack.com,486363949012357,,,,,
482517400904710,2023/11/25 10:00:15,129,PLATINUM SEATED,486127149667333,1749154@jack.com,486363949012357,,,,,
486017612198950,2023/11/25 10:00:17,129,PLATINUM SEATED,477576292815685,819037@jack.com,486363949389509,,,,,
486017612198951,2023/11/25 10:00:17,129,PLATINUM SEATED,477576292815685,819037@jack.com,486363949389509,,,,,
486017612182584,2023/11/25 10:00:19,129,PLATINUM SEATED,482922367980613,3129626@jack.com,486363951436997,,,,,
486017612182585,2023/11/25 10:00:19,129,PLATINUM SEATED,482922367980613,3129626@jack.com,486363951436997,,,,,
486017612186639,2023/11/25 10:00:21,129,PLATINUM SEATED,486361400964677,shuhan2000@jack.com,486363951560197,,,,,
486017612186640,2023/11/25 10:00:21,129,PLATINUM SEATED,486361400964677,shuhan2000@jack.com,486363951560197,,,,,
486017612198952,2023/11/25 10:00:23,129,PLATINUM SEATED,486089119835141,zi99@jack.com,486363951593157,,,,,
486017612198953,2023/11/25 10:00:23,129,PLATINUM SEATED,486089119835141,zi99@jack.com,486363951593157,,,,,
486017612198954,2023/11/25 10:00:23,129,PLATINUM SEATED,486089119835141,zi99@jack.com,486363951593157,,,,,
482517400904715,2023/11/25 10:00:27,129,PLATINUM SEATED,486183567791173,1356712@jack.com,486363955304133,,,,,
486017612207155,2023/11/25 10:00:28,129,PLATINUM SEATED,482546273883141,806299@jack.com,486363955364997,,,,,
486017612207156,2023/11/25 10:00:28,129,PLATINUM SEATED,482546273883141,806299@jack.com,486363955364997,,,,,
486017612207121,2023/11/25 10:00:30,129,PLATINUM SEATED,486355666875589,1689003@jack.com,486363955426821,,,,,
486017612198934,2023/11/25 10:00:32,129,PLATINUM SEATED,483312455312453,3783781@jack.com,486363959408325,,,,,
486017612207117,2023/11/25 10:00:34,129,PLATINUM SEATED,486174008407045,2716434@jack.com,486363963500229,,,,,
482517400904712,2023/11/25 10:00:35,129,PLATINUM SEATED,478365969838917,j900819@jack.com,486363963507845,,,,,
486017612203069,2023/11/25 10:00:38,129,PLATINUM SEATED,485716664603717,2321748@jack.com,486363971679365,,,,,
486017612203070,2023/11/25 10:00:38,129,PLATINUM SEATED,485716664603717,2321748@jack.com,486363971679365,,,,,
486017612203071,2023/11/25 10:00:38,129,PLATINUM SEATED,485716664603717,2321748@jack.com,486363971679365,,,,,
482517400904711,2023/11/25 10:00:41,129,PLATINUM SEATED,486359198823749,970247@jack.com,486363971704069,,,,,
486017612174355,2023/11/25 10:00:44,129,PLATINUM SEATED,486196706575365,1785618@jack.com,486363979953413,,,,,
486017612174356,2023/11/25 10:00:44,129,PLATINUM SEATED,486196706575365,1785618@jack.com,486363979953413,,,,,
486017612178437,2023/11/25 10:00:46,129,PLATINUM SEATED,483702514287685,tkit1208@jack.com,486363979990661,,,,,
486017612178438,2023/11/25 10:00:46,129,PLATINUM SEATED,483702514287685,tkit1208@jack.com,486363979990661,,,,,
486017612186666,2023/11/25 10:00:49,129,PLATINUM SEATED,486170439533573,1445975@jack.com,486363983963397,,,,,
486017612198919,2023/11/25 10:00:50,129,PLATINUM SEATED,484663789929541,CChunyuen@yeah.net,486363983975877,,,,,
486017612198920,2023/11/25 10:00:50,129,PLATINUM SEATED,484663789929541,CChunyuen@yeah.net,486363983975877,,,,,
486017612186650,2023/11/25 10:00:52,129,PLATINUM SEATED,482626100360197,2456797@jack.com,486363984008325,,,,,
486017612203068,2023/11/25 10:00:54,129,PLATINUM SEATED,486362390341253,1677527@jack.com,486363988456837,,,,,
486017612174392,2023/11/25 10:00:55,129,PLATINUM SEATED,484780245464069,y0904@jack.com,486363988460869,,,,,
